record_id,locus_tag,yeast_ortholog,liu_subsystem,final_subsystem,assignment_source,evidence_summary,conflicting_candidates,pathway_order,manual_review_required,assignment_confidence
AOR00038,AO090003001091,BLM10,,,unassigned,,,,False,low
AOR00039,AO090120000257,BMH1,,,unassigned,,,,False,low
AOR00040,AO090003000053,BMH2,,,unassigned,,,,False,low
AOR00041,AO090005000437,BOS1,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00042,AO090102000619,BRE5,,,unassigned,,,,False,low
AOR00043,AO090005000419,BST1,,gpi_biosynthesis,yeast_scaffold,yeast scaffold,,50.0,False,medium
AOR00044,AO090012000842,BUD7/FMP50 ,,,unassigned,,,,False,low
AOR00045,AO090012000172,BUG1,,copii,liu2014_description,liu2014 description,,70.0,False,medium
AOR00046,AO090003000198,CCT2,,,unassigned,,,,False,low
AOR00047,AO090020000413,CCT4,,,unassigned,,,,False,low
AOR00048,AO090001000471,CCT7,,,unassigned,,,,False,low
AOR00049,AO090005001642,CDC10,,,unassigned,,,,False,low
AOR00050,AO090120000204,CDC11,,,unassigned,,,,False,low
AOR00051,AO090102000511,CDC12,Septin,septin,liu2014,Liu 2014 Table S1 subsystem,,150.0,False,high
AOR00052,AO090102000107,CDC48,,erad,yeast_scaffold,yeast scaffold,,60.0,False,medium
AOR00053,AO090012001026,CDC50,,,unassigned,,,,False,low
AOR00054,AO090023000802,CHC1,,cpy_pathway,liu2014_description,liu2014 description,,120.0,False,medium
AOR00055,AO090003001230,CLC1,CPY pathway,cpy_pathway,liu2014,Liu 2014 Table S1 subsystem,,120.0,False,high
AOR00056,AO090009000313,CNE1,Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00057,AO090010000480,COF1,,,unassigned,,,,False,low
AOR00058,AO090005001354,COP1,,copi,liu2014_description,liu2014 description,,80.0,False,medium
AOR00059,AO090120000215,CPR1,,folding,current_annotation,current annotation,,40.0,False,medium
AOR00060,AO090023000811,"CPR1, CPR2, CPR5 ",Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00061,AO090120000486,"CPR1, CPR3 ",Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00062,AO090103000002,"CPR4, CPR8",Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00063,AO090011000475,"CPR6, CPR7 ",,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00064,AO090701000141,CWH41,,er_glycosylation,liu2014_description+uniprot+kegg_ko,liu2014 description,,30.0,False,
AOR00065,AO090005001276,CWH43,,gpi_biosynthesis,kegg_pathway,,,50.0,False,low
AOR00066,AO090009000300,DCR2,,,unassigned,,,,False,low
AOR00067,AO090005000469,DDI1,,,unassigned,,,,False,low
AOR00068,AO090701000551,DER1,,,unassigned,,,,False,low
AOR00069,AO090701000076,DER1/DFM1,ERAD,erad,liu2014,Liu 2014 Table S1 subsystem,,60.0,False,high
AOR00070,AO090026000548,DIE2,Dolichol pathway,dolichol_pathway,liu2014,Liu 2014 Table S1 subsystem,,20.0,False,high
AOR00071,AO090010000776,DNM1/VPS1,,hdsv,liu2014_description,liu2014 description,,110.0,False,medium
AOR00072,AO090003000271,DOA4 ,,,unassigned,,,,False,low
AOR00073,AO090003000589,DPM1,Dolichol pathway,dolichol_pathway,liu2014,Liu 2014 Table S1 subsystem,,20.0,False,high
AOR00074,AO090011000813,DRS2,,,unassigned,,,,False,low
AOR00075,AO090003000467,DSK2,,erad,yeast_scaffold,yeast scaffold,,60.0,False,medium
AOR00076,AO090166000088,ECM10,,,unassigned,,,,False,low
AOR00077,AO090011000638,ECM10 ,,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00078,AO090005001095,ECM3 ,,,unassigned,,,,False,low
AOR00079,AO090038000276,EMP24,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00080,AO090102000145,EMP47,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00081,AO090103000412,EMP70,,copii,liu2014_description,liu2014 description,,70.0,False,medium
AOR00082,AO090012000592,END3 ,,cpy_pathway,liu2014_description,liu2014 description,,120.0,False,medium
AOR00083,AO090120000220,ENT3,,,unassigned,,,,False,low
AOR00084,AO090005000648,EPT1 ,,,unassigned,,,,False,low
AOR00085,AO090102000650,ERD2,COPI,copi,liu2014,Liu 2014 Table S1 subsystem,,80.0,False,high
AOR00086,AO090026000646,ERD2 ,,copi,yeast_scaffold,yeast scaffold,,80.0,False,medium
AOR00087,AO090003000036,ERJ5,Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00088,AO090011000874,ERJ5/SCJ1,Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00089,AO090005000630,ERO1,Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00090,AO090023000834,"ERP1, ERP5, ERP6, ERV25",,copii,liu2014_description,liu2014 description,,70.0,False,medium
AOR00091,AO090102000528,"ERP2, ERP3, ERP4",COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00092,AO090005000162,ERV2,Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00093,AO090038000244,ERV29,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00094,AO090701000797,ERV41,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00095,AO090003000808,ERV46,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00096,AO090011000848,ESS1,,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00097,AO090026000449,EXO70,LDSV,ldsv,liu2014,Liu 2014 Table S1 subsystem,,100.0,False,high
AOR00098,AO090023000477,EXO84,,ldsv,liu2014_description,liu2014 description,,100.0,False,medium
AOR00099,AO090023000516,FAD1,,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00100,AO090103000136,FPR1 ,,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00101,AO090005001515,FPR2,Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00102,AO090001000519,"FPR3,FPR4 ",,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00103,AO090003000395,GAA1,,gpi_biosynthesis,yeast_scaffold,yeast scaffold,,50.0,False,medium
AOR00104,AO090023000750,GAB1,GPI biosynthesis,gpi_biosynthesis,liu2014,Liu 2014 Table S1 subsystem,,50.0,False,high
AOR00105,AO090010000463,GAL10,,,unassigned,,,,False,low
AOR00106,AO090009000459,GCN4 ,,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00107,AO090001000329,GDA1,,,unassigned,,,,False,low
AOR00108,AO090026000537,GDI1,,,unassigned,,,,False,low
AOR00109,AO090120000299,GEA2,,,unassigned,,,,False,low
AOR00110,AO090023000956,GET1,,tc,kegg_pathway,,,10.0,False,low
AOR00111,AO090003000688,GET3,,tc,kegg_pathway,,,10.0,False,low
AOR00112,AO090003000003,GFA1,,,unassigned,,,,False,low
AOR00113,AO090001000466,"GGA1, GGA2",,,unassigned,,,,False,low
AOR00114,AO090010000760,GNT1,,,unassigned,,,,False,low
AOR00115,AO090038000376,GOS1,,snare,liu2014_description,liu2014 description,,140.0,False,medium
AOR00116,AO090012000577,GPA2,,,unassigned,,,,False,low
AOR00117,AO090005001259,GPI1,,gpi_biosynthesis,yeast_scaffold,yeast scaffold,,50.0,False,medium
AOR00118,AO090023000629,GPI10,GPI biosynthesis,gpi_biosynthesis,liu2014,Liu 2014 Table S1 subsystem,,50.0,False,high
AOR00119,AO090701000376,GPI11,,gpi_biosynthesis,kegg_pathway,,,50.0,False,low
AOR00120,AO090120000381,GPI12,,gpi_biosynthesis,yeast_scaffold,yeast scaffold,,50.0,False,medium
AOR00121,AO090701000122,GPI13,,gpi_biosynthesis,yeast_scaffold,yeast scaffold,,50.0,False,medium
AOR00122,AO090010000207,GPI14,,gpi_biosynthesis,yeast_scaffold,yeast scaffold,,50.0,False,medium
AOR00123,AO090001000578,GPI16,,gpi_biosynthesis,yeast_scaffold,yeast scaffold,,50.0,False,medium
AOR00124,AO090005001582,GPI17,GPI biosynthesis,gpi_biosynthesis,liu2014,Liu 2014 Table S1 subsystem,,50.0,False,high
AOR00125,AO090003001092,GPI18,,gpi_biosynthesis,yeast_scaffold,yeast scaffold,,50.0,False,medium
AOR00126,AO090020000206,GPI2,,gpi_biosynthesis,yeast_scaffold,yeast scaffold,,50.0,False,medium
AOR00127,AO090005001186,GPI8,GPI biosynthesis,gpi_biosynthesis,liu2014,Liu 2014 Table S1 subsystem,,50.0,False,high
AOR00128,AO090102000156,GSG1 ,,,unassigned,,,,False,low
AOR00129,AO090005000093,GTB1,,folding,kegg_pathway,,,40.0,False,low
AOR00130,AO090005001245,GWT1,GPI biosynthesis,gpi_biosynthesis,liu2014,Liu 2014 Table S1 subsystem,,50.0,False,high
AOR00131,AO090124000074,HAC1 ,,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00132,AO090023000840,HLJ1,ERAD,erad,liu2014,Liu 2014 Table S1 subsystem,,60.0,False,high
AOR00133,AO090120000217,HMG2 ,,,unassigned,,,,False,low
AOR00134,AO090003001503,HOC1,,golgi_processing,yeast_scaffold,yeast scaffold,,90.0,False,medium
AOR00135,AO090010000615,HOC1,,golgi_processing,yeast_scaffold,yeast scaffold,,90.0,False,medium
AOR00136,AO090120000208,HOC1/OCH1,,golgi_processing,liu2014_description,liu2014 description,,90.0,False,medium
AOR00137,AO090005000658,HRD1,ERAD,erad,liu2014,Liu 2014 Table S1 subsystem,,60.0,False,high
AOR00138,AO090003000492,HRD3,,erad,yeast_scaffold,yeast scaffold,,60.0,False,medium
AOR00139,AO090026000593,HRR25,,,unassigned,,,,False,low
AOR00140,AO090102000620,HSC82,,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00141,AO090011000764,HSP60 ,,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00142,AO090009000400,HUT1,Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00143,AO090020000450,HYP2,Translation,translation,liu2014,Liu 2014 Table S1 subsystem,,170.0,False,high
AOR00144,AO090701000359,INO1 ,,,unassigned,,,,False,low
AOR00145,AO090005000934,IRE1 ,,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00146,AO090020000010,JEM1,Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00147,AO090003000257,KAR2,ERAD,folding,curated_liu_composite,Liu 2014 Table S1 subsystem,,40.0,False,
AOR00148,AO090003000735,KES1,,,unassigned,,,,False,low
AOR00149,AO090005001632,KEX1,,golgi_processing,yeast_scaffold,yeast scaffold,,90.0,False,medium
AOR00150,AO090009000291,KEX2,Golgi processing,golgi_processing,liu2014,Liu 2014 Table S1 subsystem,,90.0,False,high
AOR00151,AO090010000465,"KRE2, KTR1, KTR3",,golgi_processing,yeast_scaffold,yeast scaffold,,90.0,False,medium
AOR00152,AO090011000515,KRE5,"beta-1,6 glucan biosynthesis",beta_1_6_glucan_biosynthesis,liu2014,Liu 2014 Table S1 subsystem,,160.0,False,high
AOR00153,AO090102000391,KTR1,,golgi_processing,yeast_scaffold,yeast scaffold,,90.0,False,medium
AOR00154,AO090120000333,KTR5,,,unassigned,,,,False,low
AOR00155,AO090005001222,LHS1,Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00156,AO090026000314,LSB6,,,unassigned,,,,False,low
AOR00157,AO090011000320,MCD4,,gpi_biosynthesis,yeast_scaffold,yeast scaffold,,50.0,False,medium
AOR00158,AO090005000459,MLC1,,,unassigned,,,,False,low
AOR00159,AO090038000608,MNL1,,erad,yeast_scaffold,yeast scaffold,,60.0,False,medium
AOR00160,AO090012000403,MNN10,,golgi_processing,yeast_scaffold,yeast scaffold,,90.0,False,medium
AOR00161,AO090003001140,MNN11,,golgi_processing,yeast_scaffold,yeast scaffold,,90.0,False,medium
AOR00162,AO090003000967,MNN4 ,,,unassigned,,,,False,low
AOR00163,AO090701000814,MNN9,,erad,yeast_scaffold,yeast scaffold,,60.0,False,medium
AOR00164,AO090003000057,MNS1,Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00165,AO090003001225,MNS1 ,,er_glycosylation,liu2014_description+uniprot+kegg_ko,yeast scaffold,,30.0,False,
AOR00166,AO090038000177,MNT2 ,,golgi_processing,kegg_pathway,,,90.0,False,low
AOR00167,AO090003000829,MPD1,Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00168,AO090011000579,MPD1,Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00169,AO090009000361,MRL1,,,unassigned,,,,False,low
AOR00170,AO090102000101,MVP1,,,unassigned,,,,False,low
AOR00171,AO090009000707,MYO2,,,unassigned,,,,False,low
AOR00172,AO090701000790,NCE102 ,,,unassigned,,,,False,low
AOR00173,AO090701000148,NEO1,,,unassigned,,,,False,low
AOR00174,AO090023000762,NMT1,,,unassigned,,,,False,low
AOR00175,AO090005000811,NPL4,,erad,yeast_scaffold,yeast scaffold,,60.0,False,medium
AOR00176,AO090023000485,NYV1,,snare,liu2014_description,liu2014 description,,140.0,False,medium
AOR00177,AO090038000451,OLA1,ERAD,erad,liu2014,Liu 2014 Table S1 subsystem,,60.0,False,high
AOR00178,AO090009000257,ORM1,ERAD,erad,liu2014,Liu 2014 Table S1 subsystem,,60.0,False,high
AOR00179,AO090001000698,"OST1, OST2",Erglycosylation,er_glycosylation,liu2014,Liu 2014 Table S1 subsystem,,30.0,False,high
AOR00180,AO090001000747,"OST3, OST6",Erglycosylation,er_glycosylation,liu2014,Liu 2014 Table S1 subsystem,,30.0,False,high
AOR00181,AO090166000087,OST5,,er_glycosylation,yeast_scaffold,yeast scaffold,,30.0,False,medium
AOR00182,AO090701000218,PBN1,,,unassigned,,,,False,low
AOR00183,AO090001000429,PCM1,,,unassigned,,,,False,low
AOR00184,AO090001000733,PDI1,Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00185,AO090120000344,PDI1,Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00186,AO090010000769,PEP1,,cpy_pathway,current_annotation,current annotation,,120.0,False,medium
AOR00187,AO090003001001,PEP8,,,unassigned,,,,False,low
AOR00188,AO090701000381,PEX4 ,,,unassigned,,,,False,low
AOR00189,AO090001000706,PMR1 ,Golgi processing,golgi_processing,liu2014,Liu 2014 Table S1 subsystem,,90.0,False,high
AOR00190,AO090020000105,"PMT1, PMT5",,er_glycosylation,yeast_scaffold,yeast scaffold,,30.0,False,medium
AOR00191,AO090012001021,"PMT2, PMT3, PMT6",,er_glycosylation,yeast_scaffold,yeast scaffold,,30.0,False,medium
AOR00192,AO090023000336,PMT4,,er_glycosylation,yeast_scaffold,yeast scaffold,,30.0,False,medium
AOR00193,AO090005001528,PNG1,,erad,yeast_scaffold,yeast scaffold,,60.0,False,medium
AOR00194,AO090023000824,PRE1,,,unassigned,,,,False,low
AOR00195,AO090003000095,PRE2,,,unassigned,,,,False,low
AOR00196,AO090005000157,PRE3,ERAD,erad,liu2014,Liu 2014 Table S1 subsystem,,60.0,False,high
AOR00197,AO090003000016,PRE4,,,unassigned,,,,False,low
AOR00198,AO090701000060,PRE5,,,unassigned,,,,False,low
AOR00199,AO090102000273,"PRE6, PRE10",,,unassigned,,,,False,low
AOR00200,AO090003000015,PRE7,,,unassigned,,,,False,low
AOR00201,AO090005000451,PRE8,,,unassigned,,,,False,low
AOR00202,AO090001000574,PRE9,,,unassigned,,,,False,low
AOR00203,AO090003001069,PSA1,,,unassigned,,,,False,low
AOR00204,AO090005001595,PTC2,,,unassigned,,,,False,low
AOR00205,AO090003000295,PUP1,,,unassigned,,,,False,low
AOR00206,AO090026000504,PUP2,,,unassigned,,,,False,low
AOR00207,AO090023000831,PUP3,,,unassigned,,,,False,low
AOR00208,AO090009000655,RAD23,,erad,yeast_scaffold,yeast scaffold,,60.0,False,medium
AOR00209,AO090026000726,RAS2,,,unassigned,,,,False,low
AOR00210,AO090011000535,RER1,COPI,copi,liu2014,Liu 2014 Table S1 subsystem,,80.0,False,high
AOR00211,AO090003001085,RER2,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00212,AO090005001114,RET2,COPI,copi,liu2014,Liu 2014 Table S1 subsystem,,80.0,False,high
AOR00213,AO090011000777,RET3,COPI,copi,liu2014,Liu 2014 Table S1 subsystem,,80.0,False,high
AOR00214,AO090001000748,RFT1,,dolichol_pathway,liu2014_description,liu2014 description,,20.0,False,medium
AOR00215,AO090003000071,RHO1,,,unassigned,,,,False,low
AOR00216,AO090102000559,ROT2,Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00217,AO090003000947,RPL40A,ERAD,erad,liu2014,Liu 2014 Table S1 subsystem,,60.0,False,high
AOR00218,AO090120000290,RPN1,,,unassigned,,,,False,low
AOR00219,AO090005001381,RPN12,,,unassigned,,,,False,low
AOR00220,AO090023000714,RPN2,,,unassigned,,,,False,low
AOR00221,AO090020000084,RPN3,,,unassigned,,,,False,low
AOR00222,AO090020000338,RPN5,,,unassigned,,,,False,low
AOR00223,AO090001000417,RPN6,,,unassigned,,,,False,low
AOR00224,AO090012001005,RPN8,,,unassigned,,,,False,low
AOR00225,AO090003000397,RPN9,ERAD,erad,liu2014,Liu 2014 Table S1 subsystem,,60.0,False,high
AOR00226,AO090003000679,RPS31,,,unassigned,,,,False,low
AOR00227,AO090003000692,RPT3 ,,,unassigned,,,,False,low
AOR00228,AO090003000056,RPT4,,,unassigned,,,,False,low
AOR00229,AO090001000434,RPT5,,,unassigned,,,,False,low
AOR00230,AO090206000022,RPT6,,,unassigned,,,,False,low
AOR00231,AO090005001643,RUD3,Golgi processing,golgi_processing,liu2014,Liu 2014 Table S1 subsystem,,90.0,False,high
AOR00232,AO090009000668,RVS161,,,unassigned,,,,False,low
AOR00233,AO090003000842,SAR1,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00234,AO090003000853,"SBH1, SBH2",TC,tc,liu2014,Liu 2014 Table S1 subsystem,,10.0,False,high
AOR00235,AO090038000586,SCJ1,Folding,folding,liu2014,Liu 2014 Table S1 subsystem,,40.0,False,high
AOR00236,AO090003000682,SCL1,,,unassigned,,,,False,low
AOR00237,AO090010000460,SEC1 ,,,unassigned,conflicting liu2014 description evidence,cpy_pathway; ldsv,,True,low
AOR00238,AO090010000771,SEC10,,ldsv,liu2014_description,liu2014 description,,100.0,False,medium
AOR00239,AO090012000838,SEC11,TC,tc,liu2014,Liu 2014 Table S1 subsystem,,10.0,False,high
AOR00240,AO090023000986,SEC13,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00241,AO090003000509,SEC14 ,,,unassigned,,,,False,low
AOR00242,AO090701000006,SEC15,,ldsv,liu2014_description,liu2014 description,,100.0,False,medium
AOR00243,AO090701000149,SEC16,,copii,liu2014_description,liu2014 description,,70.0,False,medium
AOR00244,AO090026000347,SEC17,,copii,liu2014_description,liu2014 description,,70.0,False,medium
AOR00245,AO090005000718,SEC18 ,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00246,AO090005001666,SEC20,,snare,liu2014_description,liu2014 description,,140.0,True,medium
AOR00247,AO090026000599,SEC21,COPI,copi,liu2014,Liu 2014 Table S1 subsystem,,80.0,False,high
AOR00248,AO090701000139,SEC22,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00249,AO090005000760,SEC23,,copii,liu2014_description,liu2014 description,,70.0,False,medium
AOR00250,AO090003000403,SEC24,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00251,AO090038000308,SEC26,COPI,copi,liu2014,Liu 2014 Table S1 subsystem,,80.0,False,high
AOR00252,AO090011000577,SEC27,COPI,copi,liu2014,Liu 2014 Table S1 subsystem,,80.0,False,high
AOR00253,AO090012000556,SEC28,COPI,copi,liu2014,Liu 2014 Table S1 subsystem,,80.0,False,high
AOR00254,AO090003000913,SEC3,,ldsv,liu2014_description,liu2014 description,,100.0,False,medium
AOR00255,AO090026000337,SEC31,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00256,AO090206000003,SEC4,,ldsv,liu2014_description,liu2014 description,,100.0,False,medium
AOR00257,AO090012000630,SEC5,,ldsv,liu2014_description,liu2014 description,,100.0,False,medium
AOR00258,AO090003001162,SEC6,,ldsv,liu2014_description,liu2014 description,,100.0,False,medium
AOR00259,AO090701000730,"SEC61, SSH1",TC,tc,liu2014,Liu 2014 Table S1 subsystem,,10.0,False,high
AOR00260,AO090026000361,SEC62,TC,tc,liu2014,Liu 2014 Table S1 subsystem,,10.0,False,high
AOR00261,AO090005001238,SEC63,TC,tc,liu2014,Liu 2014 Table S1 subsystem,,10.0,False,high
AOR00262,AO090005000120,SEC65,,tc,liu2014_description,liu2014 description,,10.0,False,medium
AOR00263,AO090103000044,SEC66/SEC71,TC,tc,liu2014,Liu 2014 Table S1 subsystem,,10.0,False,high
AOR00264,AO090005000435,SEC7,,ldsv,liu2014_description,liu2014 description,,100.0,False,medium
AOR00265,AO090701000291,SEC72,TC,tc,liu2014,Liu 2014 Table S1 subsystem,,10.0,False,high
AOR00266,AO090701000290,SEC72 ,,,unassigned,,,,False,low
AOR00267,AO090701000719,SEC8,,ldsv,liu2014_description,liu2014 description,,100.0,False,medium
AOR00268,AO090020000134,SED5,,snare,liu2014_description,liu2014 description,,140.0,False,medium
AOR00269,AO090001000326,SEY1,,,unassigned,,,,False,low
AOR00270,AO090005001279,SFB3,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00271,AO090038000454,SGT2,,tc,kegg_pathway,,,10.0,False,low
AOR00272,AO090003001273,SHR3,,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00273,AO090003000363,SKN7 ,,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00274,AO090020000087,SLA2,,,unassigned,,,,False,low
AOR00275,AO090011000843,SLC1 ,,,unassigned,,,,False,low
AOR00276,AO090009000199,SLT2,,,unassigned,,,,False,low
AOR00277,AO090701000606,SLY1,,,unassigned,,,,False,low
AOR00278,AO090009000654,SMP3,,gpi_biosynthesis,yeast_scaffold,yeast scaffold,,50.0,False,medium
AOR00279,AO090012000430,SNC2,SNARE,snare,liu2014,Liu 2014 Table S1 subsystem,,140.0,False,high
AOR00280,AO090023000164,SNX41 ,,cpy_pathway,liu2014_description,liu2014 description,,120.0,False,medium
AOR00281,AO090005000615,SPC2,TC,tc,liu2014,Liu 2014 Table S1 subsystem,,10.0,False,high
AOR00282,AO090102000523,SPC3,TC,tc,liu2014,Liu 2014 Table S1 subsystem,,10.0,False,high
AOR00283,AO090012000773,SPF1 ,,,unassigned,,,,False,low
AOR00284,AO090005000980,SPT14,,gpi_biosynthesis,yeast_scaffold,yeast scaffold,,50.0,False,medium
AOR00285,AO090701000163,SRP101,,tc,liu2014_description,liu2014 description,,10.0,False,medium
AOR00286,AO090011000933,SRP102,,tc,yeast_scaffold,yeast scaffold,,10.0,False,medium
AOR00287,AO090011000469,SRP14,,tc,liu2014_description,liu2014 description,,10.0,False,medium
AOR00288,AO090120000351,SRP21,,tc,yeast_scaffold,yeast scaffold,,10.0,False,medium
AOR00289,AO090102000593,SRP54,TC,tc,liu2014,Liu 2014 Table S1 subsystem,,10.0,False,high
AOR00290,AO090003000956,SRP68,,tc,yeast_scaffold,yeast scaffold,,10.0,False,medium
