field,definition,allowed_values,value_meanings,blank_means,source
glycosylation_role_source,Evidence route used for glycosylation_role.,liu2014 | liu2014_description | yeast_scaffold | current_annotation | kegg_pathway | kegg_ko | liu_description_or_current_annotation | curated_multi_source_evidence | blank,liu2014 = direct Liu pathway label; liu2014_description = Liu description; yeast_scaffold = matching yeast gene; current_annotation = current database description; kegg_pathway = broad KEGG pathway; kegg_ko = KEGG functional group; liu_description_or_current_annotation = one specific matching description; curated_multi_source_evidence = manually reviewed agreement among multiple sources,Blank because glycosylation_role is none; no source is claimed for an unassigned role.,generated
glycosylation_role_confidence,"Strength of support for glycosylation_role only, not general function confidence.",high | medium | low | blank,"high = direct Liu assignment or manually reviewed agreement among several specific sources; medium = one specific indirect route such as a description, yeast match, KEGG pathway, or KEGG functional group; low = reserved for weak assignments (none are present in this release)",Blank because glycosylation_role is none; an unassigned role receives no confidence score.,generated
sig_all_three,Whether all three Liu adjusted p-values are below 0.05.,true | false,true = statistically significant in all three high-secretion strains; false = at least one comparison was not significant,This field is not expected to be blank.,Liu 2014
direction_all_three,Shared expression direction when the gene is significant in all three comparisons.,up | down | blank,up = expression increased in all three strains; down = expression decreased in all three strains,"The gene was not significant in all three comparisons, or the three directions did not agree.",Liu 2014
record_origin,Publication or process that placed the gene row in the atlas.,liu2014 | post_2014_literature | new_orthology_inference,liu2014 = gene was in Liu's 369-gene list; post_2014_literature and new_orthology_inference are reserved for possible future expansion,This field is not expected to be blank.,generated
evidence_source,Broad type of evidence Liu used to include or support the gene; this is not the subsystem confidence score.,a_oryzae_experimental | a_oryzae_transcriptomic | aspergillus_homolog | yeast_inference | database_prediction | unknown,a_oryzae_experimental = direct experiment in A. oryzae; a_oryzae_transcriptomic = A. oryzae expression evidence; aspergillus_homolog = evidence from a related Aspergillus species; yeast_inference = inferred through a yeast counterpart; database_prediction = computational database prediction; unknown = source text could not be classified,This field is not expected to be blank.,generated
yeast_ortholog,S. cerevisiae counterpart exactly as recorded by Liu.,free text or blank,,Liu did not provide a yeast counterpart for this gene.,Liu 2014
citation,Liu 2014 DOI supporting every machinery record.,10.1186/1752-0509-8-73,,This field is not expected to be blank.,Liu 2014
mapping_status,Result of checking the 2014 gene ID against current database records.,exact | cross_reference | sequence | orthology | ambiguous | split | merged | unresolved,"exact = the same AO090 ID is current; cross_reference = linked by an authoritative database cross-reference; sequence = linked by sequence identity; orthology = only an evolutionary counterpart supports the link, not exact identity; ambiguous = more than one current candidate; split = one old gene became several models; merged = several old genes became one model; unresolved = no current gene was verified",This field is not expected to be blank.,generated
mapping_method,Specific route used to reach mapping_status.,direct_locus_tag | cross_reference | sequence | orthology | ambiguous | split | merged | unresolved,direct_locus_tag = exact AO090 text match; cross_reference = authoritative database link; sequence = sequence identity; orthology = evolutionary relationship only; ambiguous/split/merged/unresolved mirror the unresolved mapping outcome,This field is not expected to be blank.,generated
manual_review_required,Whether any automated mapping or annotation decision needs a person to inspect it.,true | false,"true = at least one mapping or annotation issue needs review; false = no review trigger was raised, not that every biological claim is experimentally proven",This field is not expected to be blank.,generated
uniprot_accession,Current UniProt protein-record identifier.,free text or blank,,No single UniProt record was found or selected; alternatives may remain in gene_id_mapping.csv.,fetched
kegg_gene_id,Current KEGG A. oryzae gene identifier.,free text (aor:AO090...) or blank,,No KEGG gene link was supplied or selected for this row.,fetched
kegg_ko,KEGG Orthology functional-group identifier supplied by KEGG.,free text (ko:Knnnnn) or blank,Genes sharing a KO are treated by KEGG as performing an equivalent broad function across species.,"KEGG did not supply a KO link; this is incomplete annotation, not evidence that the gene has no function.",fetched
ncbi_gene_id,Current NCBI Gene numeric identifier.,free text or blank,,No unambiguous NCBI Gene link was available from the retrieved cross-references.,fetched
