ao_locus_tag,gene_name,yeast_ortholog,direction,function,subsystem,subsystem_source,compartment,glycosylation_role,glycosylation_role_source,glycosylation_role_confidence,evidence_source,mapping_status,manual_review_required
AO090003000808,,ERV46,up,"Erv41/46 complex; Vesicular transport of proteins between ER and Golgi, COPII vesicle fusion ",copii,liu2014,unknown,none,,,aspergillus_homolog,exact,False
AO090026000449,,EXO70,up,"LDSV; Cellular export and secretion , exocyst complex SU",ldsv,liu2014,vesicle,none,,,yeast_inference,exact,False
AO090005001515,fpr2,FPR2,up,"PPIase FK506 binding protein; Protein folding/UPR , FK506/rapamycin-binding protein of the ER ",folding,liu2014,ER,none,,,aspergillus_homolog,exact,False
AO090023000750,,GAB1,up,GPI biosynthesis,gpi_biosynthesis,liu2014,unknown,gpi_anchor,liu2014,high,yeast_inference,exact,False
AO090009000400,,HUT1,up,"protein folding; Protein folding/UPR , UDP-galactose transporter ",folding,liu2014,unknown,none,,,unknown,exact,False
AO090020000010,,JEM1,up,protein folding,folding,liu2014,ER,none,,,unknown,exact,False
AO090003000257,,KAR2,up,"ERADL; Protein folding/UPR , ER chaperone bipA ",folding,curated_liu_composite,ER,none,,,yeast_inference,exact,False
AO090011000515,,KRE5,up,UDP-Glc glucosyltransferase,beta_1_6_glucan_biosynthesis,liu2014,ER,none,,,aspergillus_homolog,exact,False
AO090005001222,,LHS1,up,"protein folding; Protein folding/UPR , ER lumen Hsp70 chaperone ",folding,liu2014,ER,none,,,yeast_inference,exact,False
AO090003000057,,MNS1,up,protein folding,folding,liu2014,unknown,none,,,yeast_inference,exact,False
AO090003000829,,MPD1,up,"Protein folding/UPR , Protein disulfide isomerase prpA ",folding,liu2014,ER,none,,,unknown,exact,False
AO090038000451,,OLA1,down,P-loop ATPase,erad,liu2014,cytosol,none,,,aspergillus_homolog,exact,False
AO090001000698,,"OST1, OST2",up,"Erglycosylation; Glycosylation/modification , oligosaccharyltransferase complex, αSU ",er_glycosylation,liu2014,unknown,n_glycan_transfer,liu2014,high,yeast_inference,exact,False
AO090001000747,,"OST3, OST6",up,"Erglycosylation; Glycosylation/modification , oligosaccharyltransferase complex, γSU ",er_glycosylation,liu2014,unknown,n_glycan_transfer,liu2014,high,yeast_inference,exact,False
AO090001000733,pdiA,PDI1,up,"protein folding; Protein folding/UPR , Protein disulfide isomerase pdiAh ",folding,liu2014,ER,none,,,yeast_inference,exact,False
AO090011000535,,RER1,up,"COPI; Vesicular transport of proteins between ER and Golgi, retention of ER membrane proteins",copi,liu2014,membrane,none,,,yeast_inference,exact,False
AO090102000559,,ROT2,up,"protein folding; Trimming and quality control of N-glycosylated folded proteins, glucosidase II, αSU ",folding,liu2014,ER,n_glycan_trimming,liu_description_or_current_annotation,medium,yeast_inference,exact,False
AO090005001643,,RUD3,down,"Golgi processing; Vesicular transport of proteins between ER and Golgi, Golgi-matrix protein ",golgi_processing,liu2014,Golgi,none,,,unknown,exact,False
AO090003000842,sar1,SAR1,up,"COPII; Vesicle trafficking/transport , GTPase (ER to Golgi) ",copii,liu2014,unknown,none,,,yeast_inference,exact,False
AO090003000853,,"SBH1, SBH2",up,"TC,ERADL; Translocation to ER, Translocon (gamma subunit) ",tc,liu2014,unknown,none,,,yeast_inference,exact,False
AO090038000586,,SCJ1,up,ER DnaJ co-chaperone,folding,liu2014,ER,none,,,aspergillus_homolog,exact,False
AO090012000838,sec11,SEC11,up,"TC; Translocation to ER, signal peptidase complex SU ",tc,liu2014,unknown,none,,,yeast_inference,exact,False
AO090038000308,,SEC26,up,"COPI; Vesicular transport of proteins between ER and Golgi, COPI complex, β SU ",copi,liu2014,unknown,none,,,yeast_inference,exact,False
AO090026000337,sec31,SEC31,up,"COPII; Vesicular transport of proteins between ER and Golgi, COPII complex SU ",copii,liu2014,unknown,none,,,yeast_inference,exact,False
AO090701000730,,"SEC61, SSH1",up,"TC; Translocation to ER, Translocon (alpha subunit) ",tc,liu2014,unknown,none,,,yeast_inference,exact,False
AO090026000361,,SEC62,up,"TC; Translocation to ER, ER protein-translocation complex subunit ",tc,liu2014,unknown,none,,,unknown,exact,False
AO090005001238,,SEC63,up,"TC; Translocation to ER, ER protein-translocation complex subunit ",tc,liu2014,unknown,none,,,yeast_inference,exact,False
AO090103000044,,SEC66/SEC71,up,"TC; Translocation to ER, ER protein-translocation complex subunit ",tc,liu2014,ER,none,,,unknown,exact,False
AO090701000291,,SEC72,up,Targeting and import to the ER,tc,liu2014,cytosol,none,,,aspergillus_homolog,exact,False
AO090005000615,,SPC2,up,"TC; Translocation to ER, signal peptidase complex SU ",tc,liu2014,unknown,none,,,unknown,exact,False
AO090102000523,,SPC3,up,"TC; Translocation to ER,  signal peptidase complex SU ",tc,liu2014,unknown,none,,,yeast_inference,exact,False
AO090103000069,,STT3,up,"Erglycosylation; Glycosylation/modification , oligosaccharyltransferase complex, SU ",er_glycosylation,liu2014,unknown,n_glycan_transfer,liu2014,high,yeast_inference,exact,False
AO090023000690,,SWP1,up,"Erglycosylation; Glycosylation/modification , oligosaccharyltransferase complex,Delta (essential) subunit",er_glycosylation,liu2014,unknown,n_glycan_transfer,liu2014,high,unknown,exact,False
AO090701000164,,YIF1,up,COPII/Golgi fusion,copii,liu2014,unknown,none,,,aspergillus_homolog,exact,False
AO090023000334,,YOS9,up,ERADL,erad,liu2014,unknown,none,,,unknown,exact,False
